row_number,mth,Dint,age,female,male,Dtol,div,Dkli,Dmco,Dmco1,Dmco2,Dmco3,cov,TI,QI,MCI,GIS
264,2020-04,1,32,"1,327","3,695",1,17,1,1,1,0,0,108,,,,
265,2020-04,1,33,"1,192","3,246",1,17,1,1,1,0,0,108,,,,
266,2020-04,1,34,"1,208","3,182",1,16,1,1,1,0,0,108,,,,
267,2020-04,1,35,"1,434","3,492",1,17,1,1,1,0,0,108,,,,
268,2020-04,1,36,"1,350","3,286",0,19,1,1,1,0,0,108,,,,
269,2020-04,1,37,"1,380","3,022",0,19,1,1,1,0,0,108,,,,
270,2020-04,1,38,"1,392","3,243",0,18,1,1,1,0,0,108,,,,
271,2020-04,1,39,"1,382","3,017",0,17,1,1,1,0,0,108,,,,
272,2020-04,1,40,"1,325","2,988",0,17,1,1,1,0,0,108,,,,
273,2020-04,1,41,"1,354","2,898",0,17,1,1,1,0,0,108,,,,
274,2020-04,1,42,"1,392","2,744",0,18,1,1,1,0,0,108,,,,
275,2020-04,1,43,"1,356","2,726",0,19,1,1,1,0,0,108,,,,
276,2020-04,1,44,"1,533","2,903",0,15,1,1,1,0,0,108,,,,
277,2020-04,1,45,"1,372","2,723",0,17,1,1,1,0,0,108,,,,
278,2020-04,1,46,"1,407","2,727",0,17,1,1,1,0,0,108,,,,
279,2020-04,1,47,"1,428","2,710",0,17,1,1,1,0,0,108,,,,
280,2020-04,1,48,"1,433","2,625",0,19,1,1,1,0,0,108,,,,
281,2020-04,1,49,"1,486","2,602",0,17,1,1,1,0,0,108,,,,
282,2020-04,1,50,"1,348","2,540",0,17,1,1,1,0,0,108,,,,
283,2020-04,1,51,"1,264","2,363",0,17,1,1,1,0,0,108,,,,
284,2020-04,1,52,"1,298","2,253",0,17,1,1,1,0,0,108,,,,
285,2020-04,1,53,"1,258","2,262",0,15,1,1,1,0,0,108,,,,
286,2020-04,1,54,"1,187","2,226",0,17,1,1,1,0,0,108,,,,
287,2020-04,1,55,"1,208","2,168",0,18,1,1,1,0,0,108,,,,
288,2020-04,1,56,"1,247","2,307",0,18,1,1,1,0,0,108,,,,
289,2020-04,1,57,"1,178","2,407",0,16,1,1,1,0,0,108,,,,
290,2020-04,1,58,"1,235","2,157",0,17,1,1,1,0,0,108,,,,
291,2020-04,1,59,"1,157","2,075",0,16,1,1,1,0,0,108,,,,
292,2020-04,0,60,"1,077","2,020",0,17,1,1,1,0,0,108,,,,
293,2020-04,0,61,"1,042","1,956",0,18,1,1,1,0,0,108,,,,
294,2020-04,0,62,923,"1,916",0,18,1,1,1,0,0,108,,,,
295,2020-04,0,63,977,"1,813",0,15,1,1,1,0,0,108,,,,
296,2020-04,0,64,896,"1,740",0,16,1,1,1,0,0,108,,,,
297,2020-04,0,65,778,"1,609",0,16,1,1,1,0,0,108,,,,
298,2020-04,0,66,753,"1,423",0,16,1,1,1,0,0,108,,,,
299,2020-04,0,67,746,"1,412",0,17,1,1,1,0,0,108,,,,
300,2020-04,0,68,610,"1,279",0,15,1,1,1,0,0,108,,,,
301,2020-04,0,69,571,"1,073",0,16,1,1,1,0,0,108,,,,
302,2020-04,0,70,530,"1,070",0,16,1,1,1,0,0,108,,,,
303,2020-04,0,71,505,"1,004",1,16,1,1,1,0,0,108,,,,
304,2020-04,0,72,433,950,0,16,1,1,1,0,0,108,,,,
305,2020-04,0,73,414,892,0,15,1,1,1,0,0,108,,,,
306,2020-04,0,74,389,697,0,16,1,1,1,0,0,108,,,,
307,2020-04,0,75,223,466,0,14,1,1,1,0,0,108,,,,
308,2020-04,0,76,246,454,0,14,1,1,1,0,0,108,,,,
309,2020-04,0,77,215,493,0,15,1,1,1,0,0,108,,,,
310,2020-04,0,78,179,385,0,16,1,1,1,0,0,108,,,,
311,2020-04,0,79,179,385,0,14,1,1,1,0,0,108,,,,
312,2020-04,0,80,135,321,0,14,1,1,1,0,0,108,,,,
313,2020-04,0,81,114,323,0,15,1,1,1,0,0,108,,,,
314,2020-04,0,82,79,207,0,14,1,1,1,0,0,108,,,,
315,2020-04,0,83,83,146,0,13,1,1,1,0,0,108,,,,
316,2020-04,0,84,58,110,0,14,1,1,1,0,0,108,,,,
317,2020-04,0,85,48,80,0,14,1,1,1,0,0,108,,,,
318,2020-04,0,86,35,70,0,13,1,1,1,0,0,108,,,,
319,2020-04,0,87,31,45,0,14,1,1,1,0,0,108,,,,
320,2020-04,0,88,12,35,0,13,1,1,1,0,0,108,,,,
321,2020-04,0,89,13,27,0,14,1,1,1,0,0,108,,,,
322,2020-04,0,90,5,21,0,12,1,1,1,0,0,108,,,,
323,2020-04,0,91,2,13,0,13,1,1,1,0,0,108,,,,
324,2020-04,0,92,8,9,0,13,1,1,1,0,0,108,,,,
325,2020-04,0,93,2,3,0,6,1,1,1,0,0,108,,,,
326,2020-04,0,94,4,6,0,12,1,1,1,0,0,108,,,,
327,2020-04,0,95,2,2,0,8,1,1,1,0,0,108,,,,
328,2020-04,0,96,4,1,0,7,1,1,1,0,0,108,,,,
329,2020-04,0,97,0,3,0,4,1,1,1,0,0,108,,,,
330,2020-04,0,98,2,2,0,10,1,1,1,0,0,108,,,,
331,2020-05,0,18,8,17,0,10,1,0,0,0,0,59,,,,
332,2020-05,0,19,45,148,0,15,1,0,0,0,0,59,,,,
333,2020-05,0,20,109,329,1,14,1,0,0,0,0,59,,,,
334,2020-05,0,21,126,520,0,14,1,0,0,0,0,59,,,,
335,2020-05,0,22,184,711,1,15,1,0,0,0,0,59,,,,
336,2020-05,0,23,336,"1,187",1,16,1,0,0,0,0,59,,,,
337,2020-05,0,24,545,"1,599",0,18,1,0,0,0,0,59,,,,
338,2020-05,0,25,649,"2,040",1,16,1,0,0,0,0,59,,,,
339,2020-05,0,26,942,"2,653",1,17,1,0,0,0,0,59,,,,
340,2020-05,0,27,"1,015","3,090",0,16,1,0,0,0,0,59,,,,
341,2020-05,0,28,"1,136","3,171",0,17,1,0,0,0,0,59,,,,
342,2020-05,1,29,"1,299","3,362",0,19,1,0,0,0,0,59,,,,
343,2020-05,1,30,"1,372","3,733",1,17,1,0,0,0,0,59,,,,
344,2020-05,1,31,"1,261","3,412",0,17,1,0,0,0,0,59,,,,
345,2020-05,1,32,"1,616","4,147",0,16,1,0,0,0,0,59,,,,
346,2020-05,1,33,"1,428","3,659",0,16,1,0,0,0,0,59,,,,
347,2020-05,1,34,"1,447","3,644",1,16,1,0,0,0,0,59,,,,
348,2020-05,1,35,"1,671","3,925",0,17,1,0,0,0,0,59,,,,
349,2020-05,1,36,"1,563","3,699",0,17,1,0,0,0,0,59,,,,
350,2020-05,1,37,"1,615","3,437",0,17,1,0,0,0,0,59,,,,
351,2020-05,1,38,"1,633","3,614",0,16,1,0,0,0,0,59,,,,
352,2020-05,1,39,"1,684","3,422",0,17,1,0,0,0,0,59,,,,
353,2020-05,1,40,"1,608","3,349",0,17,1,0,0,0,0,59,,,,
